job_id,config_hash,timestamp,success,mean_score,std_score,mean_train_score,fit_time_mean,score_time_mean,kg_co2,energy_kwh,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,f1_macro_mean,f1_macro_std,f1_micro_mean,f1_micro_std,f1_weighted_mean,f1_weighted_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,roc_auc_ovr_mean,roc_auc_ovr_std,folds_completed,error_message
38,56932ce15663,2026-07-31 12:55:54,False,,,,,,,,25,12,0.3,1.0,1.0,1,0,,,,,,,,,,,,,0,pruned by HyperbandPruner
39,23ceb39b4a7c,2026-07-31 12:55:59,False,,,,,,,,150,15,0.23,1.0,1.0,1,0,,,,,,,,,,,,,0,pruned by HyperbandPruner
40,34c990b9d00b,2026-07-31 12:56:04,False,,,,,,,,75,4,0.07,1.0,1.0,1,0,,,,,,,,,,,,,0,pruned by HyperbandPruner
41,bc590396ca2a,2026-07-31 12:56:09,True,0.8100000000000002,0.024083189157584565,0.8099999999999999,0.044816017150878906,0.05993075370788574,2.06339282558458e-07,3.188068799741977e-06,100,3,0.04,1.0,1.0,1,0,0.7061750735401464,0.04882752473288025,0.8100000000000002,0.024083189157584565,0.7759877201783404,0.034665492077833135,0.8935504960528251,0.01079656058201379,0.6833333333333332,0.040138648595974345,0.7958809523809525,0.04178567019398027,5,
42,bc590396ca2a,2026-07-31 12:56:15,True,0.8100000000000002,0.024083189157584565,0.8099999999999999,0.03852090835571289,0.05375890731811524,1.9640311339316916e-07,3.0345488760898187e-06,100,3,0.04,1.0,1.0,1,0,0.7061750735401464,0.04882752473288025,0.8100000000000002,0.024083189157584565,0.7759877201783404,0.034665492077833135,0.8935504960528251,0.01079656058201379,0.6833333333333332,0.040138648595974345,0.7958809523809525,0.04178567019398027,5,
43,023a18a2a885,2026-07-31 12:56:20,False,,,,,,,,100,3,0.26,1.0,1.0,1,0,,,,,,,,,,,,,0,pruned by HyperbandPruner
44,23c8cfe832f8,2026-07-31 12:56:25,False,,,,,,,,25,14,0.2,1.0,1.0,1,0,,,,,,,,,,,,,0,pruned by HyperbandPruner
45,36f94a309f30,2026-07-31 12:56:30,False,,,,,,,,25,7,0.17,1.0,1.0,1,0,,,,,,,,,,,,,0,pruned by HyperbandPruner
46,bd8c886cdc66,2026-07-31 12:56:35,True,0.8100000000000002,0.024083189157584565,0.8099999999999999,0.033162593841552734,0.05745697021484375,1.6307209925899894e-07,2.5195642114765647e-06,50,4,0.03,1.0,1.0,1,0,0.7061750735401464,0.04882752473288025,0.8100000000000002,0.024083189157584565,0.7759877201783404,0.034665492077833135,0.8935504960528251,0.01079656058201379,0.6833333333333332,0.040138648595974345,0.8018452380952381,0.02760364923786649,5,
47,2153d8e04825,2026-07-31 12:56:41,False,,,,,,,,125,8,0.06,1.0,1.0,1,0,,,,,,,,,,,,,0,pruned by HyperbandPruner
48,2576e69f2f2e,2026-07-31 12:56:46,True,0.808,0.023366642891095822,0.8310000000000001,0.11756310462951661,0.07003169059753418,3.314694684099396e-07,5.121407117451812e-06,100,7,0.02,1.0,1.0,1,0,0.7087230950428897,0.04513460418377184,0.808,0.023366642891095822,0.7766873923765047,0.03230221387687339,0.8710210649000254,0.029254992989772924,0.6857142857142857,0.03759342104840218,0.7863333333333333,0.03585048632326363,5,
